0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
DEFAULTS ENTREES PLAN,,,,,,,DEFAULT WITH CHEF'S CHOICE,,,,,,,,,,,Default Breakfast,,,,,,,PUL/Home,
Total Meals Per Week,Meal 1,Meal 2,Meal 3,Meal 4,Meal 5,,Number & Plan,# Of Meals,MEAL PLAN,Meal 1,Meal 2,Meal 3,Meal 4,Meal 5,,PLAN,,Total Breakfasts,Breakfast Default,Breakfast 1,Breakfast 2,Breakfast 3,Breakfast 4,,Anytime Fitness Clearwater,
1,0,0,0,0,1,,1,1,Performance,0,0,0,0,1,,Senior Care (7 Day),,1,Keto Only,1,0,0,0,,Anytime Fitness Tarpon Springs,
2,0,0,0,1,1,,2,2,Performance,0,0,0,0,1,,Senior Care (5 Day),,2,Keto Only,1,1,0,0,,Bayshore Fit,
3,0,0,1,1,1,,,2,Lifestyle,1,0,0,0,0,,A La Carte,,3,Keto Only,2,1,0,0,,Burg CrossFit Downtown,
4,0,1,1,1,1,,3,3,Performance,0,0,0,1,1,,Keto / Low Carb Double Protein,,4,Keto Only,2,2,0,0,,Burn Boot Camp Brandon,
5,1,1,1,1,1,,,3,Lifestyle,1,0,0,0,0,,Keto / Low Carb,,5,Keto Only,3,2,0,0,,Burn Boot Camp Brandon 2nd Delivery,
6,1,1,1,1,2,,4,4,Performance,0,0,0,1,1,,,,6,Keto Only,3,3,0,0,,Burn Boot Camp Apollo Beach,
7,1,1,1,2,2,,,4,Lifestyle,1,1,0,0,0,,Plant-Based,,7,Keto Only,4,3,0,0,,Burn Boot Camp South Tampa,
8,1,1,2,2,2,,5,5,Performance,0,0,1,1,1,,Performance Double Protein,,8,Keto Only,4,4,0,0,,CAMP Tampa,
9,1,2,2,2,2,,,5,Lifestyle,1,1,0,0,0,,Performance,,9,Keto Only,5,4,0,0,,CAMP Tampa 2nd Delivery,
10,2,2,2,2,2,,6,6,Performance,0,0,1,1,1,,Lifestyle Double Protein,,10,Keto Only,5,5,0,0,,CAMP Tampa 3rd Delivery,
11,2,2,2,2,3,,,6,Lifestyle,1,1,1,0,0,,Lifestyle,,1,Chef's Choice,0,0,0,1,,Cigar City CrossFit,
12,2,2,2,3,3,,7,7,Performance,0,1,1,1,1,,,,2,Chef's Choice,0,0,1,1,,CrossFit AERO,
13,2,2,3,3,3,,,7,Lifestyle,1,1,1,0,0,,,,3,Chef's Choice,0,1,1,1,,CrossFit Brooksville,
14,2,3,3,3,3,,8,8,Performance,0,1,1,1,1,,,,4,Chef's Choice,1,1,1,1,,CrossFit Manatee,
15,3,3,3,3,3,,,8,Lifestyle,1,1,1,1,0,,,,5,Chef's Choice,1,1,1,2,,CrossFIt St. Pete,
16,3,3,3,3,4,,9,9,Performance,1,1,1,1,1,,,,6,Chef's Choice,1,1,2,2,,Elevate St. Pete,
17,3,3,3,4,4,,,9,Lifestyle,1,1,1,1,0,,,,7,Chef's Choice,1,2,2,2,,F45 Training Lakeland Highlands,
18,3,3,4,4,4,,10,10,Performance,1,1,1,1,1,,,,8,Chef's Choice,2,2,2,2,,F45 Training Largo East,
19,3,4,4,4,4,,,10,Lifestyle,1,1,1,1,1,,,,9,Chef's Choice,2,2,2,3,,F45 Training Midtown Tampa,
20,4,4,4,4,4,,11,11,Performance,1,1,1,1,2,,,,10,Chef's Choice,2,2,3,3,,F45 Training Riverview,
21,4,4,4,4,5,,,11,Lifestyle,1,1,1,1,1,,,,,,,,,,,F45 Training Sarasota UTC,
22,4,4,4,5,5,,12,12,Performance,1,1,1,1,2,,,,,,,,,,,F45 Training Wiregrass,
23,4,4,5,5,5,,,12,Lifestyle,2,1,1,1,1,,,,,,,,,,,Fit Body Boot Camp - Lutz,
24,4,5,5,5,5,,13,13,Performance,1,1,1,2,2,,,,,,,,,,,Fit24 Tampa,
25,5,5,5,5,5,,,13,Lifestyle,2,1,1,1,1,,,,,Make Any changes below the Red line,,,,,,Level Up Westchase,
26,5,5,5,5,6,,14,14,Performance,1,1,1,2,2,,,,,,,,,,,Lexus,
27,5,5,5,6,6,,,14,Lifestyle,2,2,1,1,1,,,,,,,,,,,MAD Nutrition & Smoothies,
28,5,5,6,6,6,,15,15,Performance,1,1,2,2,2,,,,,,,,,,,MAD Nutrition &amp; Smoothies,
29,5,6,6,6,6,,,15,Lifestyle,2,2,1,1,1,,,,,,,,,,,Neighborly Care Network,
30,6,6,6,6,6,,16,16,Performance,1,1,2,2,2,,,,,,,,,,,Nutrishop South Tampa,
,,,,,,,,16,Lifestyle,2,2,2,1,1,,,,,,,,,,,Perform24 Tampa,
,,,,,,,17,17,Performance,1,2,2,2,2,,,,,,,,,,,ReBuilt Downstairs Fridge,
,,,,,,,,17,Lifestyle,2,2,2,1,1,,,,,,,,,,,Seven Springs CrossFit,
,,,,,,,18,18,Performance,1,2,2,2,2,,,,,,,,,,,Sunshine City CrossFit,
,,,,,,,,18,Lifestyle,2,2,2,2,1,,,,,,,,,,,Train Harder CrossFit,
,,,,,,,19,19,Performance,2,2,2,2,2,,,,,,,,,,,TrYumph Fitness Largo,
,,,,,,,,19,Lifestyle,2,2,2,2,1,,,,,,,,,,,Ship_FedEx,
